No,[usec],,,
362,452.5,-0.009899553,,
363,453.75,-0.009894969,,
364,455,-0.009908721,,
365,456.25,-0.009908721,,
366,457.5,-0.009904137,,
367,458.75,-0.009913305,,
368,460,-0.009922473,,
369,461.25,-0.009917889,,
370,462.5,-0.009908721,,
371,463.75,-0.009913305,,
372,465,-0.009913305,,
373,466.25,-0.009913305,,
374,467.5,-0.009908721,,
375,468.75,-0.009917889,,
376,470,-0.009917889,,
377,471.25,-0.009922473,,
378,472.5,-0.009922473,,
379,473.75,-0.009927058,,
380,475,-0.009936226,,
381,476.25,-0.009936226,,
382,477.5,-0.009927058,,
383,478.75,-0.009931642,,
384,480,-0.00994081,,
385,481.25,-0.009945394,,
386,482.5,-0.00994081,,
387,483.75,-0.00994081,,
388,485,-0.00994081,,
389,486.25,-0.009945394,,
390,487.5,-0.009949978,,
391,488.75,-0.009949978,,
392,490,-0.009949978,,
393,491.25,-0.009954562,,
394,492.5,-0.009959146,,
395,493.75,-0.009963731,,
396,495,-0.009968315,,
397,496.25,-0.009968315,,
398,497.5,-0.009963731,,
399,498.75,-0.009963731,,
400,500,-0.009968315,,
401,501.25,-0.009972899,,
402,502.5,-0.009977483,,
403,503.75,-0.009972899,,
404,505,-0.009968315,,
405,506.25,-0.009968315,,
406,507.5,-0.009972899,,
407,508.75,-0.009986651,,
408,510,-0.009995819,,
409,511.25,-0.009995819,,
410,512.5,-0.010000404,,
411,513.75,-0.009991235,,
412,515,-0.009995819,,
413,516.25,-0.010000404,,
414,517.5,-0.010004988,,
415,518.75,-0.010000404,,
416,520,-0.009986651,,
417,521.25,-0.009977483,,
418,522.5,-0.009982067,,
419,523.75,-0.009977483,,
420,525,-0.009991235,,
421,526.25,-0.009982067,,
422,527.5,-0.009986651,,
423,528.75,-0.010000404,,
424,530,-0.010009572,,
425,531.25,-0.010014156,,
426,532.5,-0.010023324,,
427,533.75,-0.010023324,,
428,535,-0.01001874,,
429,536.25,-0.010023324,,
430,537.5,-0.010027908,,
431,538.75,-0.010027908,,
432,540,-0.010027908,,
433,541.25,-0.010023324,,
434,542.5,-0.010023324,,
435,543.75,-0.010027908,,
436,545,-0.010027908,,
437,546.25,-0.010037077,,
438,547.5,-0.010032493,,
439,548.75,-0.010032493,,
440,550,-0.010032493,,
441,551.25,-0.010032493,,
442,552.5,-0.010032493,,
443,553.75,-0.010037077,,
444,555,-0.010027908,,
445,556.25,-0.010023324,,
446,557.5,-0.010014156,,
447,558.75,-0.01001874,,
448,560,-0.010023324,,
449,561.25,-0.010027908,,
450,562.5,-0.01001874,,
451,563.75,-0.010004988,,
452,565,-0.010000404,,
453,566.25,-0.010000404,,
454,567.5,-0.009995819,,
455,568.75,-0.009986651,,
456,570,-0.009972899,,
457,571.25,-0.009968315,,
458,572.5,-0.009963731,,
459,573.75,-0.009963731,,
460,575,-0.009977483,,
461,576.25,-0.009977483,,
462,577.5,-0.009968315,,
463,578.75,-0.009959146,,
464,580,-0.009954562,,
465,581.25,-0.009949978,,
466,582.5,-0.00994081,,
467,583.75,-0.009927058,,
468,585,-0.009917889,,
469,586.25,-0.009908721,,
470,587.5,-0.009913305,,
471,588.75,-0.009908721,,
472,590,-0.009908721,,
473,591.25,-0.009894969,,
474,592.5,-0.009876632,,
475,593.75,-0.009858296,,
476,595,-0.00986288,,
477,596.25,-0.009858296,,
478,597.5,-0.009853712,,
479,598.75,-0.009835375,,
480,600,-0.009826207,,
481,601.25,-0.009821623,,
482,602.5,-0.009821623,,
483,603.75,-0.009803286,,
484,605,-0.009803286,,
485,606.25,-0.009798702,,
486,607.5,-0.009789534,,
487,608.75,-0.009780366,,
488,610,-0.009766613,,
489,611.25,-0.009762029,,
490,612.5,-0.009762029,,
491,613.75,-0.009743693,,
492,615,-0.009739108,,
493,616.25,-0.009739108,,
494,617.5,-0.009725356,,
495,618.75,-0.009720772,,
496,620,-0.009711604,,
497,621.25,-0.00970702,,
498,622.5,-0.00970702,,
499,623.75,-0.009702435,,
500,625,-0.009688683,,
501,626.25,-0.009679515,,
